"sensor_id","latitude","longitude","name"
7595,51.6026,-1.1117,"825 [WEATHER]"
7596,51.4408,-0.9366,"830 [WEATHER]"
7597,50.7337,-1.8224,"843 [WEATHER]"
7598,50.8837,-1.7708,"844 [WEATHER]"
7599,51.1493,-1.5685,"847 [WEATHER]"
7600,51.0084,-1.3339,"855 [WEATHER]"
7601,50.7104,-4.2959,"8605 [WEATHER]"
7602,50.7845,-0.9846,"863 [WEATHER]"
7603,50.5922,-1.2118,"877 [WEATHER]"
7604,50.6231,-1.1794,"878 [WEATHER]"
7605,51.4307,-2.1133,"883 [WEATHER]"
7606,51.2013,-1.8044,"888 [WEATHER]"
7607,51.1613,-1.7532,"889 [WEATHER]"
7608,50.8626,-3.8083,"8898 [WEATHER]"
7609,60.1395,-1.183,"9 [WEATHER]"
7610,50.9408,-2.8599,"9092 [WEATHER]"
7611,56.0344,-5.4266,"915 [WEATHER]"
7612,56.0282,-4.9838,"926 [WEATHER]"
7613,51.1146,-2.9208,"9280 [WEATHER]"
7614,55.592,-5.153,"937 [WEATHER]"
7615,56.0481,-4.5659,"949 [WEATHER]"
7616,51.2729,-2.4126,"9529 [WEATHER]"
7617,55.9733,-4.3292,"954 [WEATHER]"
7618,56.0093,-3.6851,"963 [WEATHER]"
7619,55.786,-4.0218,"980 [WEATHER]"
7620,55.4164,-3.7583,"983 [WEATHER]"
7621,55.7227,-4.8922,"996 [WEATHER]"
7622,57.1453481,-2.1031362,"Aberdeen Union Street Roadside [AQ]"
7623,57.1197619,-2.0888228,"Aberdeen Wellington Road [AQ]"
7624,57.149717,-2.094278,"Aberdeen [AQ]"
7625,54.3350182,-6.6322009,"Armagh Roadside [AQ]"
7626,51.782763,-0.709176,"Aston Hill [AQ]"
7627,55.792323,-3.2431028,"Auchencorth Moss [AQ]"
7628,54.8495084,-6.2747672,"Ballymena Antrim Road [AQ]"
7629,54.857937,-6.262428,"Ballymena Ballykeel [AQ]"
7630,53.561483,-1.5137529,"Barnsley Gawber [AQ]"
7631,51.0786717,-4.0541334,"Barnstaple A39 [AQ]"
7632,51.391127,-2.354155,"Bath Roadside [AQ]"
7633,54.597366,-5.930879,"Belfast Centre [AQ]"
7634,54.5722824,-5.9745011,"Belfast Stockman's Lane [AQ]"
7635,54.612537,-1.290961,"Billingham [AQ]"
7636,53.3756645,-3.0326453,"Birkenhead Borough Road [AQ]"
7637,52.4881142,-1.8846554,"Birmingham A4540 Roadside [AQ]"
7638,52.4455838,-1.8308359,"Birmingham Acocks Green [AQ]"
7639,52.49,-1.87,"Birmingham Ladywood [AQ]"
7640,52.52368,-1.810777,"Birmingham Tyburn [AQ]"
7641,53.7475194,-2.4484278,"Blackburn Accrington Road [AQ]"
7642,53.8069674,-2.9970544,"Blackpool Marton [AQ]"
7643,51.6616566,-0.2694338,"Borehamwood Meadow Park [AQ]"
7644,50.719164,-1.880769,"Bournemouth [AQ]"
