region_id,timestamp,val_O3_max,extra_rings_O3_max
WR,2017-01-04,151.25,1
WS,2017-01-04,160.0,0
WV,2017-01-04,158.0,1
YO,2017-01-04,174.0,0
ZE,2017-01-04,177.0,0
AB,2017-01-05,163.0,0
AL,2017-01-05,164.0,1
B,2017-01-05,95.0,0
BA,2017-01-05,110.0,1
BB,2017-01-05,118.0,1
BD,2017-01-05,157.0,1
BH,2017-01-05,113.0,0
BL,2017-01-05,66.0,1
BN,2017-01-05,129.0,0
BR,2017-01-05,116.0,1
BS,2017-01-05,110.0,0
BT,2017-01-05,149.33333333333334,0
CA,2017-01-05,154.0,1
CB,2017-01-05,137.0,0
CF,2017-01-05,116.0,0
CH,2017-01-05,140.0,0
CM,2017-01-05,138.0,1
CO,2017-01-05,146.0,0
CR,2017-01-05,116.0,1
CT,2017-01-05,136.0,0
CV,2017-01-05,139.0,0
CW,2017-01-05,106.66666666666669,1
DA,2017-01-05,116.0,1
DD,2017-01-05,161.5,1
DE,2017-01-05,128.41666666666666,1
DG,2017-01-05,157.0,0
DH,2017-01-05,153.33333333333334,1
DL,2017-01-05,154.66666666666666,1
DN,2017-01-05,148.5,1
DT,2017-01-05,122.5,1
DY,2017-01-05,86.0,1
E,2017-01-05,118.0,1
EC,2017-01-05,114.66666666666669,1
EH,2017-01-05,155.75,0
EN,2017-01-05,115.0,1
EX,2017-01-05,132.0,0
FK,2017-01-05,150.33333333333334,1
FY,2017-01-05,110.0,0
G,2017-01-05,119.0,0
GL,2017-01-05,132.5,1
GU,2017-01-05,120.0,1
GY,2017-01-05,,2
HA,2017-01-05,93.0,1
HD,2017-01-05,147.66666666666666,1
HG,2017-01-05,157.5,1
HP,2017-01-05,164.0,0
HR,2017-01-05,142.0,1
HS,2017-01-05,,2
HU,2017-01-05,154.0,0
HX,2017-01-05,121.57142857142857,2
IG,2017-01-05,116.0,1
IM,2017-01-05,,2
IP,2017-01-05,146.0,0
IV,2017-01-05,167.0,0
JE,2017-01-05,,2
KA,2017-01-05,138.0,1
KT,2017-01-05,107.33333333333331,2
KW,2017-01-05,167.0,1
KY,2017-01-05,156.6,1
L,2017-01-05,126.0,0
LA,2017-01-05,114.0,1
LD,2017-01-05,138.25,1
LE,2017-01-05,151.5,0
LL,2017-01-05,140.0,1
LN,2017-01-05,136.0,1
LS,2017-01-05,157.0,0
LU,2017-01-05,164.0,1
M,2017-01-05,66.5,0
ME,2017-01-05,133.5,1
MK,2017-01-05,153.0,1
ML,2017-01-05,149.83333333333334,1
N,2017-01-05,120.0,0
NE,2017-01-05,151.0,0
NG,2017-01-05,136.0,0
NN,2017-01-05,142.0,0
NP,2017-01-05,142.0,0
NR,2017-01-05,159.0,0
NW,2017-01-05,110.0,0
OL,2017-01-05,66.5,1
OX,2017-01-05,134.6,1
PA,2017-01-05,139.5,1
PE,2017-01-05,147.75,1
PH,2017-01-05,160.0,0
PL,2017-01-05,133.0,0
PO,2017-01-05,141.0,0
PR,2017-01-05,118.0,0
RG,2017-01-05,89.0,0
RH,2017-01-05,129.0,1
RM,2017-01-05,123.5,1
S,2017-01-05,147.66666666666666,0
SA,2017-01-05,147.5,0
SE,2017-01-05,116.0,0
SG,2017-01-05,137.0,1
SK,2017-01-05,108.0,1
SL,2017-01-05,114.5,1
SM,2017-01-05,93.66666666666669,2
SN,2017-01-05,99.5,1
SO,2017-01-05,121.0,0
SP,2017-01-05,107.66666666666669,1
SR,2017-01-05,154.0,0
SS,2017-01-05,131.0,0
ST,2017-01-05,123.0,0
SW,2017-01-05,93.66666666666669,1
SY,2017-01-05,145.0,1
TA,2017-01-05,121.0,1
TD,2017-01-05,155.16666666666666,1
TF,2017-01-05,123.0,1
TN,2017-01-05,132.5,1
TQ,2017-01-05,166.0,0
TR,2017-01-05,133.0,1
TS,2017-01-05,155.0,0
TW,2017-01-05,87.33333333333331,1
UB,2017-01-05,102.5,0
W,2017-01-05,57.0,0
WA,2017-01-05,57.0,0
WC,2017-01-05,108.0,0
WD,2017-01-05,119.75,1
WF,2017-01-05,151.6,1
WN,2017-01-05,13.0,0
WR,2017-01-05,117.0,1
WS,2017-01-05,68.0,0
WV,2017-01-05,95.5,1
YO,2017-01-05,158.0,0
ZE,2017-01-05,179.0,0
AB,2017-01-06,131.0,0
AL,2017-01-06,154.0,1
B,2017-01-06,118.5,0
BA,2017-01-06,122.0,1
BB,2017-01-06,129.0,1
BD,2017-01-06,153.0,1
BH,2017-01-06,156.0,0
BL,2017-01-06,117.25,1
BN,2017-01-06,149.0,0
BR,2017-01-06,140.0,1
BS,2017-01-06,122.0,0
BT,2017-01-06,152.0,0
CA,2017-01-06,133.5,1
CB,2017-01-06,132.0,0
CF,2017-01-06,138.0,0
CH,2017-01-06,134.0,0
CM,2017-01-06,138.0,1
CO,2017-01-06,146.0,0
CR,2017-01-06,140.0,1
CT,2017-01-06,162.0,0
CV,2017-01-06,113.5,0
CW,2017-01-06,114.33333333333331,1
DA,2017-01-06,145.5,1
DD,2017-01-06,139.5,1
DE,2017-01-06,121.75,1
DG,2017-01-06,145.0,0
DH,2017-01-06,128.33333333333334,1
DL,2017-01-06,124.0,1
DN,2017-01-06,113.66666666666669,1
DT,2017-01-06,134.0,1
DY,2017-01-06,120.66666666666669,1
E,2017-01-06,136.5,1
EC,2017-01-06,128.33333333333334,1
EH,2017-01-06,149.25,0
EN,2017-01-06,152.5,1
EX,2017-01-06,112.0,0
FK,2017-01-06,146.66666666666666,1
FY,2017-01-06,131.0,0
G,2017-01-06,135.0,0
GL,2017-01-06,124.25,1
GU,2017-01-06,139.75,1
GY,2017-01-06,,2
HA,2017-01-06,129.0,1
HD,2017-01-06,134.33333333333334,1
HG,2017-01-06,132.5,1
HP,2017-01-06,154.0,0
HR,2017-01-06,148.0,1
HS,2017-01-06,,2
HU,2017-01-06,57.0,0
HX,2017-01-06,131.71428571428572,2
IG,2017-01-06,140.0,1
IM,2017-01-06,,2
IP,2017-01-06,140.0,0
IV,2017-01-06,175.0,0
JE,2017-01-06,,2
KA,2017-01-06,140.0,1
KT,2017-01-06,128.33333333333334,2
KW,2017-01-06,175.0,1
KY,2017-01-06,149.0,1
L,2017-01-06,129.0,0
LA,2017-01-06,130.0,1
LD,2017-01-06,153.25,1
LE,2017-01-06,135.0,0
LL,2017-01-06,134.0,1
LN,2017-01-06,110.0,1
LS,2017-01-06,153.0,0
LU,2017-01-06,154.0,1
M,2017-01-06,118.5,0
ME,2017-01-06,151.0,0
MK,2017-01-06,142.0,1
ML,2017-01-06,146.16666666666666,1
N,2017-01-06,133.0,0
NE,2017-01-06,122.0,0
NG,2017-01-06,110.0,0
NN,2017-01-06,130.0,0
NP,2017-01-06,148.0,0
NR,2017-01-06,128.0,0
NW,2017-01-06,172.0,0
OL,2017-01-06,118.5,1
OX,2017-01-06,126.4,1
PA,2017-01-06,141.5,1
PE,2017-01-06,129.75,1
PH,2017-01-06,148.0,0
PL,2017-01-06,164.0,0
PO,2017-01-06,146.0,0
PR,2017-01-06,129.0,0
RG,2017-01-06,121.0,0
RH,2017-01-06,149.0,1
RM,2017-01-06,142.33333333333334,1
S,2017-01-06,134.33333333333334,0
SA,2017-01-06,163.5,0
SE,2017-01-06,140.0,0
SG,2017-01-06,132.0,1
SK,2017-01-06,121.28571428571428,1
SL,2017-01-06,123.0,1
SM,2017-01-06,126.33333333333331,2
SN,2017-01-06,121.5,1
SO,2017-01-06,143.0,0
SP,2017-01-06,140.0,1
SR,2017-01-06,125.0,0
SS,2017-01-06,136.0,0
ST,2017-01-06,89.0,0
SW,2017-01-06,126.33333333333331,1
SY,2017-01-06,153.66666666666666,1
TA,2017-01-06,117.0,1
TD,2017-01-06,144.0,1
TF,2017-01-06,89.0,1
TN,2017-01-06,154.0,1
TQ,2017-01-06,155.0,0
TR,2017-01-06,164.0,1
TS,2017-01-06,138.0,0
TW,2017-01-06,114.66666666666669,1
UB,2017-01-06,108.5,0
W,2017-01-06,127.0,0
WA,2017-01-06,120.0,0
WC,2017-01-06,112.0,0
WD,2017-01-06,135.75,1
WF,2017-01-06,133.6,1
WN,2017-01-06,103.0,0
WR,2017-01-06,116.0,1
WS,2017-01-06,125.0,0
WV,2017-01-06,107.0,1
YO,2017-01-06,112.0,0
ZE,2017-01-06,185.0,0
AB,2017-01-07,111.0,0
AL,2017-01-07,164.0,1
B,2017-01-07,80.5,0
BA,2017-01-07,142.0,1
BB,2017-01-07,118.0,1
BD,2017-01-07,161.0,1
BH,2017-01-07,153.0,0
BL,2017-01-07,100.75,1
BN,2017-01-07,144.0,0
BR,2017-01-07,140.0,1
BS,2017-01-07,142.0,0
BT,2017-01-07,145.66666666666666,0
CA,2017-01-07,143.0,1
CB,2017-01-07,130.0,0
CF,2017-01-07,155.0,0
CH,2017-01-07,129.0,0
CM,2017-01-07,133.33333333333334,1
CO,2017-01-07,140.0,0
CR,2017-01-07,140.0,1
CT,2017-01-07,156.0,0
CV,2017-01-07,119.0,0
CW,2017-01-07,124.33333333333331,1
DA,2017-01-07,144.0,1
DD,2017-01-07,135.0,1
DE,2017-01-07,119.66666666666669,1
DG,2017-01-07,154.0,0
DH,2017-01-07,125.0,1
DL,2017-01-07,128.33333333333334,1
DN,2017-01-07,123.16666666666669,1
DT,2017-01-07,148.0,1
DY,2017-01-07,93.0,1
E,2017-01-07,137.0,1
EC,2017-01-07,130.0,1
EH,2017-01-07,158.75,0
EN,2017-01-07,68.0,1
EX,2017-01-07,143.0,0
FK,2017-01-07,154.33333333333334,1
FY,2017-01-07,144.0,0
G,2017-01-07,132.0,0
GL,2017-01-07,134.0,1
GU,2017-01-07,140.25,1
GY,2017-01-07,,2
HA,2017-01-07,94.5,1
HD,2017-01-07,150.33333333333334,1
HG,2017-01-07,152.0,1
HP,2017-01-07,164.0,0
HR,2017-01-07,156.0,1
HS,2017-01-07,,2
HU,2017-01-07,35.0,0
HX,2017-01-07,126.28571428571428,2
IG,2017-01-07,140.0,1
IM,2017-01-07,,2
IP,2017-01-07,127.0,0
IV,2017-01-07,178.0,0
JE,2017-01-07,,2
KA,2017-01-07,143.0,1
KT,2017-01-07,132.55555555555554,2
KW,2017-01-07,178.0,1
KY,2017-01-07,158.8,1
L,2017-01-07,133.0,0
LA,2017-01-07,131.0,1
LD,2017-01-07,158.5,1
LE,2017-01-07,125.0,0
LL,2017-01-07,129.0,1
LN,2017-01-07,110.0,1
LS,2017-01-07,161.0,0
LU,2017-01-07,164.0,1
M,2017-01-07,77.0,0
ME,2017-01-07,148.0,0
MK,2017-01-07,144.5,1
ML,2017-01-07,153.5,1
N,2017-01-07,134.0,0
NE,2017-01-07,132.0,0
NG,2017-01-07,110.0,0
NN,2017-01-07,125.0,0
NP,2017-01-07,156.0,0
NR,2017-01-07,126.5,0
NW,2017-01-07,2.0,0
OL,2017-01-07,77.0,1
OX,2017-01-07,129.8,1
PA,2017-01-07,145.5,1
PE,2017-01-07,124.375,1
PH,2017-01-07,159.0,0
PL,2017-01-07,154.0,0
PO,2017-01-07,152.0,0
PR,2017-01-07,118.0,0
RG,2017-01-07,122.0,0
RH,2017-01-07,144.0,1
