region_id,timestamp,val_O3_mean,extra_rings_O3_mean
WV,2017-01-04,38.5,1
YO,2017-01-04,74.0,0
ZE,2017-01-04,81.0,0
AB,2017-01-05,43.0,0
AL,2017-01-05,62.0,1
B,2017-01-05,5.5,0
BA,2017-01-05,5.0,1
BB,2017-01-05,12.0,1
BD,2017-01-05,19.0,1
BH,2017-01-05,11.0,0
BL,2017-01-05,7.5,1
BN,2017-01-05,15.0,0
BR,2017-01-05,8.0,1
BS,2017-01-05,5.0,0
BT,2017-01-05,37.66666666666666,0
CA,2017-01-05,34.0,1
CB,2017-01-05,28.0,0
CF,2017-01-05,10.0,0
CH,2017-01-05,19.0,0
CM,2017-01-05,26.66666666666667,1
CO,2017-01-05,31.0,0
CR,2017-01-05,8.0,1
CT,2017-01-05,20.0,0
CV,2017-01-05,8.0,0
CW,2017-01-05,10.666666666666666,1
DA,2017-01-05,8.0,1
DD,2017-01-05,37.5,1
DE,2017-01-05,16.25,1
DG,2017-01-05,45.0,0
DH,2017-01-05,25.0,1
DL,2017-01-05,33.0,1
DN,2017-01-05,28.66666666666667,1
DT,2017-01-05,13.5,1
DY,2017-01-05,5.333333333333333,1
E,2017-01-05,11.5,1
EC,2017-01-05,10.333333333333334,1
EH,2017-01-05,39.25,0
EN,2017-01-05,12.0,1
EX,2017-01-05,16.0,0
FK,2017-01-05,32.666666666666664,1
FY,2017-01-05,8.0,0
G,2017-01-05,7.0,0
GL,2017-01-05,9.5,1
GU,2017-01-05,15.0,1
GY,2017-01-05,,2
HA,2017-01-05,6.5,1
HD,2017-01-05,28.66666666666667,1
HG,2017-01-05,35.0,1
HP,2017-01-05,62.0,0
HR,2017-01-05,17.0,1
HS,2017-01-05,,2
HU,2017-01-05,24.0,0
HX,2017-01-05,18.428571428571427,2
IG,2017-01-05,8.0,1
IM,2017-01-05,,2
IP,2017-01-05,45.0,0
IV,2017-01-05,65.0,0
JE,2017-01-05,,2
KA,2017-01-05,26.0,1
KT,2017-01-05,10.333333333333334,2
KW,2017-01-05,65.0,1
KY,2017-01-05,37.8,1
L,2017-01-05,17.0,0
LA,2017-01-05,10.0,1
LD,2017-01-05,28.25,1
LE,2017-01-05,29.0,0
LL,2017-01-05,19.0,1
LN,2017-01-05,11.0,1
LS,2017-01-05,19.0,0
LU,2017-01-05,62.0,1
M,2017-01-05,6.0,0
ME,2017-01-05,20.5,1
MK,2017-01-05,45.0,1
ML,2017-01-05,34.833333333333336,1
N,2017-01-05,15.0,0
NE,2017-01-05,23.0,0
NG,2017-01-05,11.0,0
NN,2017-01-05,28.0,0
NP,2017-01-05,17.0,0
NR,2017-01-05,50.0,0
NW,2017-01-05,9.0,0
OL,2017-01-05,6.0,1
OX,2017-01-05,22.2,1
PA,2017-01-05,19.5,1
PE,2017-01-05,33.75,1
PH,2017-01-05,32.0,0
PL,2017-01-05,27.0,0
PO,2017-01-05,20.0,0
PR,2017-01-05,12.0,0
RG,2017-01-05,5.0,0
RH,2017-01-05,15.0,1
RM,2017-01-05,14.5,1
S,2017-01-05,28.66666666666667,0
SA,2017-01-05,43.0,0
SE,2017-01-05,8.0,0
SG,2017-01-05,28.0,1
SK,2017-01-05,15.857142857142858,1
SL,2017-01-05,19.5,1
SM,2017-01-05,7.333333333333332,2
SN,2017-01-05,5.0,1
SO,2017-01-05,20.0,0
SP,2017-01-05,12.0,1
SR,2017-01-05,27.0,0
SS,2017-01-05,21.0,0
ST,2017-01-05,8.0,0
SW,2017-01-05,7.333333333333332,1
SY,2017-01-05,35.0,1
TA,2017-01-05,10.5,1
TD,2017-01-05,37.5,1
TF,2017-01-05,8.0,1
TN,2017-01-05,17.5,1
TQ,2017-01-05,51.0,0
TR,2017-01-05,27.0,1
TS,2017-01-05,25.0,0
TW,2017-01-05,5.666666666666668,1
UB,2017-01-05,5.5,0
W,2017-01-05,6.0,0
WA,2017-01-05,5.0,0
WC,2017-01-05,8.0,0
WD,2017-01-05,20.5,1
WF,2017-01-05,31.2,1
WN,2017-01-05,6.0,0
WR,2017-01-05,6.75,1
WS,2017-01-05,5.0,0
WV,2017-01-05,6.5,1
YO,2017-01-05,51.0,0
ZE,2017-01-05,78.0,0
AB,2017-01-06,17.0,0
AL,2017-01-06,56.0,1
B,2017-01-06,19.5,0
BA,2017-01-06,11.0,1
BB,2017-01-06,17.0,1
BD,2017-01-06,3.0,1
BH,2017-01-06,37.0,0
BL,2017-01-06,16.25,1
BN,2017-01-06,26.0,0
BR,2017-01-06,20.0,1
BS,2017-01-06,11.0,0
BT,2017-01-06,40.0,0
CA,2017-01-06,29.5,1
CB,2017-01-06,17.0,0
CF,2017-01-06,7.0,0
CH,2017-01-06,23.0,0
CM,2017-01-06,28.0,1
CO,2017-01-06,41.0,0
CR,2017-01-06,20.0,1
CT,2017-01-06,36.0,0
CV,2017-01-06,15.5,0
CW,2017-01-06,16.333333333333332,1
DA,2017-01-06,26.5,1
DD,2017-01-06,30.0,1
DE,2017-01-06,20.0,1
DG,2017-01-06,46.0,0
DH,2017-01-06,23.0,1
DL,2017-01-06,18.33333333333333,1
DN,2017-01-06,19.666666666666668,1
DT,2017-01-06,22.5,1
DY,2017-01-06,20.666666666666668,1
E,2017-01-06,17.5,1
EC,2017-01-06,15.0,1
EH,2017-01-06,48.5,0
EN,2017-01-06,9.0,1
EX,2017-01-06,8.0,0
FK,2017-01-06,42.0,1
FY,2017-01-06,16.0,0
G,2017-01-06,15.0,0
GL,2017-01-06,12.5,1
GU,2017-01-06,20.25,1
GY,2017-01-06,,2
HA,2017-01-06,6.25,1
HD,2017-01-06,30.66666666666667,1
HG,2017-01-06,7.5,1
HP,2017-01-06,56.0,0
HR,2017-01-06,8.0,1
HS,2017-01-06,,2
HU,2017-01-06,8.0,0
HX,2017-01-06,21.571428571428577,2
