region_id,timestamp,val_PM10_max,extra_rings_PM10_max
PA,2017-01-06,27.0,0
PE,2017-01-06,47.4,1
PH,2017-01-06,29.33333333333333,1
PL,2017-01-06,50.0,4
PO,2017-01-06,54.0,1
PR,2017-01-06,22.0,1
RG,2017-01-06,60.0,0
RH,2017-01-06,64.0,0
RM,2017-01-06,60.0,0
S,2017-01-06,40.66666666666666,0
SA,2017-01-06,44.0,0
SE,2017-01-06,96.0,0
SG,2017-01-06,54.0,0
SK,2017-01-06,36.42857142857143,1
SL,2017-01-06,62.0,1
SM,2017-01-06,83.8,2
SN,2017-01-06,60.0,1
SO,2017-01-06,54.0,0
SP,2017-01-06,56.0,1
SR,2017-01-06,23.0,1
SS,2017-01-06,63.0,0
ST,2017-01-06,39.0,0
SW,2017-01-06,88.75,1
SY,2017-01-06,44.0,1
TA,2017-01-06,41.0,2
TD,2017-01-06,19.33333333333333,1
TF,2017-01-06,39.0,1
TN,2017-01-06,43.0,1
TQ,2017-01-06,50.0,4
TR,2017-01-06,50.0,5
TS,2017-01-06,24.5,0
TW,2017-01-06,89.0,1
UB,2017-01-06,64.0,0
W,2017-01-06,101.5,0
WA,2017-01-06,31.0,0
WC,2017-01-06,56.0,0
WD,2017-01-06,75.66666666666667,1
WF,2017-01-06,51.66666666666666,1
WN,2017-01-06,29.0,1
WR,2017-01-06,51.75,1
WS,2017-01-06,43.0,1
WV,2017-01-06,39.0,1
YO,2017-01-06,44.83333333333334,1
ZE,2017-01-06,,2
AB,2017-01-07,17.0,0
AL,2017-01-07,30.0,1
B,2017-01-07,37.5,0
BA,2017-01-07,33.0,2
BB,2017-01-07,36.66666666666666,2
BD,2017-01-07,43.0,1
BH,2017-01-07,34.0,1
BL,2017-01-07,34.5,1
BN,2017-01-07,100.0,1
BR,2017-01-07,37.0,1
BS,2017-01-07,35.0,1
BT,2017-01-07,36.6,0
CA,2017-01-07,34.0,0
CB,2017-01-07,30.0,1
CF,2017-01-07,24.0,0
CH,2017-01-07,32.5,1
CM,2017-01-07,27.33333333333333,1
CO,2017-01-07,29.75,2
CR,2017-01-07,68.5,1
CT,2017-01-07,28.5,1
CV,2017-01-07,40.0,0
CW,2017-01-07,37.5,1
DA,2017-01-07,29.0,1
DD,2017-01-07,17.0,1
DE,2017-01-07,38.36363636363637,1
DG,2017-01-07,34.0,1
DH,2017-01-07,19.666666666666668,1
DL,2017-01-07,23.25,1
DN,2017-01-07,34.0,0
DT,2017-01-07,32.333333333333336,2
DY,2017-01-07,37.5,1
E,2017-01-07,37.0,1
EC,2017-01-07,31.5,1
EH,2017-01-07,5.0,0
EN,2017-01-07,33.0,1
EX,2017-01-07,33.0,3
FK,2017-01-07,19.0,0
FY,2017-01-07,32.5,2
G,2017-01-07,17.0,0
GL,2017-01-07,38.333333333333336,1
GU,2017-01-07,49.25,1
GY,2017-01-07,,2
HA,2017-01-07,31.8,1
HD,2017-01-07,30.66666666666667,1
HG,2017-01-07,43.0,1
HP,2017-01-07,29.0,1
HR,2017-01-07,35.0,1
HS,2017-01-07,,2
HU,2017-01-07,47.0,0
HX,2017-01-07,35.285714285714285,2
IG,2017-01-07,29.5,1
IM,2017-01-07,,2
IP,2017-01-07,37.0,1
IV,2017-01-07,17.0,1
JE,2017-01-07,,2
KA,2017-01-07,14.0,1
KT,2017-01-07,100.0,1
KW,2017-01-07,17.0,2
KY,2017-01-07,12.0,1
L,2017-01-07,31.0,0
LA,2017-01-07,34.0,1
LD,2017-01-07,25.4,1
LE,2017-01-07,52.0,0
LL,2017-01-07,26.6,2
LN,2017-01-07,38.66666666666666,1
LS,2017-01-07,43.0,0
LU,2017-01-07,30.0,1
M,2017-01-07,34.5,0
ME,2017-01-07,28.5,0
MK,2017-01-07,30.0,1
ML,2017-01-07,14.5,1
N,2017-01-07,31.66666666666667,1
NE,2017-01-07,9.0,0
NG,2017-01-07,41.0,0
NN,2017-01-07,44.0,1
NP,2017-01-07,35.0,0
NR,2017-01-07,37.0,0
NW,2017-01-07,34.5,0
OL,2017-01-07,34.5,1
OX,2017-01-07,36.333333333333336,1
PA,2017-01-07,8.0,0
PE,2017-01-07,40.2,1
PH,2017-01-07,14.666666666666664,1
PL,2017-01-07,33.0,4
PO,2017-01-07,34.0,1
PR,2017-01-07,31.0,1
RG,2017-01-07,29.0,0
RH,2017-01-07,100.0,0
RM,2017-01-07,22.0,0
S,2017-01-07,30.66666666666667,0
SA,2017-01-07,22.66666666666667,0
SE,2017-01-07,37.0,0
SG,2017-01-07,30.0,0
SK,2017-01-07,33.714285714285715,1
SL,2017-01-07,24.5,1
SM,2017-01-07,46.6,2
SN,2017-01-07,29.0,1
SO,2017-01-07,34.0,0
SP,2017-01-07,32.333333333333336,1
SR,2017-01-07,19.666666666666668,1
SS,2017-01-07,30.0,0
ST,2017-01-07,41.0,0
SW,2017-01-07,33.25,1
