region_id,timestamp,val_Temperature.mean,extra_rings_Temperature.mean
IV,2017-01-03,8.066666666666668,0
JE,2017-01-03,,2
KA,2017-01-03,7.8,0
KT,2017-01-03,-0.597916666666665,1
KW,2017-01-03,8.1,0
KY,2017-01-03,5.2,0
L,2017-01-03,4.3204545454545435,2
LA,2017-01-03,5.6,0
LD,2017-01-03,0.25,0
LE,2017-01-03,2.75,1
LL,2017-01-03,4.965000000000002,0
LN,2017-01-03,1.25,0
LS,2017-01-03,4.532638888888889,1
LU,2017-01-03,1.2,1
M,2017-01-03,3.8,1
ME,2017-01-03,2.0,0
MK,2017-01-03,0.18,1
ML,2017-01-03,5.3,0
N,2017-01-03,1.2,2
NE,2017-01-03,5.279924242424243,1
NG,2017-01-03,2.7225,1
NN,2017-01-03,-0.075,1
NP,2017-01-03,-1.22,1
NR,2017-01-03,2.25,0
NW,2017-01-03,1.2486111111111124,2
OL,2017-01-03,3.8,1
OX,2017-01-03,-0.7666666666666666,0
PA,2017-01-03,7.166666666666668,0
PE,2017-01-03,2.0,0
PH,2017-01-03,7.8599999999999985,0
PL,2017-01-03,6.0,0
PO,2017-01-03,2.175,0
PR,2017-01-03,5.6,1
RG,2017-01-03,1.18333333333333,0
RH,2017-01-03,-2.8,0
RM,2017-01-03,2.0,1
S,2017-01-03,5.6125,0
SA,2017-01-03,0.22,0
SE,2017-01-03,0.360833333333334,2
SG,2017-01-03,1.2,0
SK,2017-01-03,3.8,0
SL,2017-01-03,1.2430555555555556,1
SM,2017-01-03,-0.04895833333333255,2
SN,2017-01-03,-0.4074074074074078,1
SO,2017-01-03,-0.18333333333333304,0
SP,2017-01-03,0.45,0
SR,2017-01-03,4.6,1
SS,2017-01-03,2.0,1
ST,2017-01-03,2.8,0
SW,2017-01-03,1.6041666666666698,1
SY,2017-01-03,3.325,0
TA,2017-01-03,-1.9,0
TD,2017-01-03,6.25,0
TF,2017-01-03,3.266666666666667,1
TN,2017-01-03,0.5,0
TQ,2017-01-03,0.0,0
TR,2017-01-03,6.0,1
TS,2017-01-03,4.6,0
TW,2017-01-03,1.6041666666666698,0
UB,2017-01-03,0.941666666666667,0
W,2017-01-03,1.2729166666666685,1
WA,2017-01-03,3.8,1
WC,2017-01-03,1.2729166666666685,2
WD,2017-01-03,0.941666666666667,1
WF,2017-01-03,4.901388888888889,1
WN,2017-01-03,4.699999999999998,2
WR,2017-01-03,1.3500000000000003,1
WS,2017-01-03,3.266666666666667,1
WV,2017-01-03,3.5,0
YO,2017-01-03,4.548958333333333,0
ZE,2017-01-03,,2
AB,2017-01-04,3.175,0
AL,2017-01-04,5.35,1
B,2017-01-04,5.0,1
BA,2017-01-04,5.4,0
BB,2017-01-04,4.55,1
BD,2017-01-04,4.0,0
