region_id,timestamp,val_NO2_max,extra_rings_NO2_max
NG,2017-01-05,54.5,0
NN,2017-01-05,226.0,0
NP,2017-01-05,229.66666666666663,0
NR,2017-01-05,268.0,0
NW,2017-01-05,77.5,0
OL,2017-01-05,24.0,0
OX,2017-01-05,152.0,0
PA,2017-01-05,134.75,1
PE,2017-01-05,156.9090909090909,1
PH,2017-01-05,214.0,0
PL,2017-01-05,241.0,0
PO,2017-01-05,16.0,0
PR,2017-01-05,259.0,0
RG,2017-01-05,29.0,0
RH,2017-01-05,272.5,0
RM,2017-01-05,11.0,0
S,2017-01-05,159.71428571428572,0
SA,2017-01-05,160.66666666666666,0
SE,2017-01-05,35.5,0
SG,2017-01-05,186.0,0
SK,2017-01-05,115.05555555555556,1
SL,2017-01-05,40.0,1
SM,2017-01-05,155.33333333333334,2
SN,2017-01-05,82.6,1
SO,2017-01-05,142.0,0
SP,2017-01-05,68.66666666666667,1
SR,2017-01-05,130.5,0
SS,2017-01-05,263.0,0
ST,2017-01-05,107.5,0
SW,2017-01-05,96.75,1
SY,2017-01-05,203.0,1
TA,2017-01-05,240.0,0
TD,2017-01-05,203.7142857142857,1
TF,2017-01-05,107.5,1
TN,2017-01-05,203.9,1
TQ,2017-01-05,14.0,0
TR,2017-01-05,241.0,1
TS,2017-01-05,255.25,0
TW,2017-01-05,64.33333333333333,1
UB,2017-01-05,69.5,0
W,2017-01-05,54.0,0
WA,2017-01-05,88.5,0
WC,2017-01-05,262.0,0
WD,2017-01-05,59.4,1
WF,2017-01-05,178.66666666666663,1
WN,2017-01-05,260.0,0
WR,2017-01-05,111.66666666666669,1
WS,2017-01-05,163.0,0
WV,2017-01-05,135.25,1
YO,2017-01-05,243.0,0
ZE,2017-01-05,,2
AB,2017-01-06,180.0,0
AL,2017-01-06,66.25,1
B,2017-01-06,241.66666666666663,0
BA,2017-01-06,261.0,1
BB,2017-01-06,235.0,0
BD,2017-01-06,251.0,0
BH,2017-01-06,240.0,0
BL,2017-01-06,231.125,1
BN,2017-01-06,144.75,0
BR,2017-01-06,172.66666666666663,1
BS,2017-01-06,272.0,0
BT,2017-01-06,182.6,0
CA,2017-01-06,250.0,0
CB,2017-01-06,229.0,0
CF,2017-01-06,226.0,0
CH,2017-01-06,246.0,0
CM,2017-01-06,206.0,1
CO,2017-01-06,211.0,0
CR,2017-01-06,130.25,1
CT,2017-01-06,215.0,0
CV,2017-01-06,99.0,0
CW,2017-01-06,216.875,1
DA,2017-01-06,235.0,0
DD,2017-01-06,183.75,1
DE,2017-01-06,180.5,1
DG,2017-01-06,149.5,0
DH,2017-01-06,208.5,1
DL,2017-01-06,221.9090909090909,1
DN,2017-01-06,236.0,0
DT,2017-01-06,200.2,1
DY,2017-01-06,238.4,1
E,2017-01-06,45.0,0
EC,2017-01-06,115.83333333333331,1
EH,2017-01-06,172.66666666666663,0
EN,2017-01-06,77.42857142857143,1
EX,2017-01-06,135.5,0
FK,2017-01-06,188.5,0
FY,2017-01-06,226.0,0
G,2017-01-06,209.0,0
GL,2017-01-06,163.77777777777774,1
GU,2017-01-06,171.0,1
GY,2017-01-06,,2
HA,2017-01-06,66.8,1
HD,2017-01-06,229.11111111111111,1
HG,2017-01-06,173.66666666666663,1
HP,2017-01-06,3.0,0
HR,2017-01-06,222.0,1
HS,2017-01-06,,2
HU,2017-01-06,254.0,0
HX,2017-01-06,243.0,1
IG,2017-01-06,147.25,1
IM,2017-01-06,,2
IP,2017-01-06,215.33333333333331,1
IV,2017-01-06,220.0,0
JE,2017-01-06,,2
KA,2017-01-06,192.0,1
KT,2017-01-06,119.0,1
KW,2017-01-06,220.0,1
KY,2017-01-06,181.66666666666663,1
L,2017-01-06,219.0,0
LA,2017-01-06,238.4,1
LD,2017-01-06,212.57142857142856,1
LE,2017-01-06,105.66666666666669,0
LL,2017-01-06,246.0,1
LN,2017-01-06,240.0,0
LS,2017-01-06,33.5,0
LU,2017-01-06,11.0,0
M,2017-01-06,228.75,0
ME,2017-01-06,236.5,0
MK,2017-01-06,103.14285714285714,1
ML,2017-01-06,186.58333333333331,1
N,2017-01-06,45.0,0
NE,2017-01-06,147.0,0
NG,2017-01-06,149.5,0
NN,2017-01-06,218.0,0
NP,2017-01-06,222.0,0
NR,2017-01-06,206.0,0
NW,2017-01-06,78.0,0
OL,2017-01-06,243.0,0
OX,2017-01-06,119.5,0
PA,2017-01-06,202.125,1
PE,2017-01-06,160.0,1
PH,2017-01-06,195.0,0
PL,2017-01-06,203.0,0
PO,2017-01-06,258.0,0
PR,2017-01-06,230.0,0
RG,2017-01-06,269.0,0
RH,2017-01-06,119.0,0
RM,2017-01-06,261.0,0
S,2017-01-06,224.0,0
SA,2017-01-06,198.66666666666663,0
SE,2017-01-06,141.5,0
SG,2017-01-06,125.5,0
SK,2017-01-06,220.5,1
SL,2017-01-06,134.8,1
SM,2017-01-06,140.5,2
SN,2017-01-06,209.8,1
SO,2017-01-06,134.0,0
SP,2017-01-06,214.33333333333331,1
SR,2017-01-06,226.0,0
SS,2017-01-06,245.0,0
ST,2017-01-06,149.0,0
SW,2017-01-06,151.25,1
SY,2017-01-06,217.6,1
TA,2017-01-06,250.0,0
TD,2017-01-06,170.125,1
TF,2017-01-06,149.0,1
TN,2017-01-06,174.0,1
TQ,2017-01-06,177.0,0
TR,2017-01-06,203.0,1
TS,2017-01-06,230.5,0
TW,2017-01-06,59.33333333333334,1
UB,2017-01-06,66.5,0
W,2017-01-06,45.0,0
WA,2017-01-06,236.25,0
