region_id,timestamp,val_SO2_max,extra_rings_SO2_max
PO,2017-01-05,58.5,1
PR,2017-01-05,43.0,1
RG,2017-01-05,64.0,1
RH,2017-01-05,53.0,1
RM,2017-01-05,52.0,0
S,2017-01-05,31.0,0
SA,2017-01-05,55.5,0
SE,2017-01-05,74.5,1
SG,2017-01-05,46.33333333333334,2
SK,2017-01-05,56.66666666666666,1
SL,2017-01-05,54.25,2
SM,2017-01-05,73.0,2
SN,2017-01-05,135.0,1
SO,2017-01-05,64.0,0
SP,2017-01-05,99.5,1
SR,2017-01-05,97.0,1
SS,2017-01-05,63.5,1
ST,2017-01-05,51.5,2
SW,2017-01-05,73.0,1
SY,2017-01-05,65.66666666666667,1
TA,2017-01-05,65.0,0
TD,2017-01-05,97.0,1
TF,2017-01-05,65.66666666666667,2
TN,2017-01-05,64.0,1
TQ,2017-01-05,65.0,2
TR,2017-01-05,65.0,3
TS,2017-01-05,97.0,0
TW,2017-01-05,49.0,1
UB,2017-01-05,49.0,1
W,2017-01-05,49.0,0
WA,2017-01-05,75.5,1
WC,2017-01-05,97.0,0
WD,2017-01-05,51.0,1
WF,2017-01-05,38.333333333333336,1
WN,2017-01-05,75.5,1
WR,2017-01-05,65.66666666666667,2
WS,2017-01-05,32.666666666666664,2
WV,2017-01-05,65.66666666666667,2
YO,2017-01-05,51.33333333333334,1
ZE,2017-01-05,,2
AB,2017-01-06,3.0,2
AL,2017-01-06,54.0,2
B,2017-01-06,86.0,2
BA,2017-01-06,27.0,0
BB,2017-01-06,86.0,2
BD,2017-01-06,86.0,1
BH,2017-01-06,75.0,1
BL,2017-01-06,53.0,1
BN,2017-01-06,53.0,0
BR,2017-01-06,76.25,2
BS,2017-01-06,52.5,1
BT,2017-01-06,75.0,0
CA,2017-01-06,75.0,2
CB,2017-01-06,72.0,2
CF,2017-01-06,119.0,0
CH,2017-01-06,119.0,1
CM,2017-01-06,36.0,1
CO,2017-01-06,36.0,2
CR,2017-01-06,70.2,2
CT,2017-01-06,86.0,1
CV,2017-01-06,86.0,2
CW,2017-01-06,64.0,2
DA,2017-01-06,61.0,1
DD,2017-01-06,33.5,2
DE,2017-01-06,86.0,1
DG,2017-01-06,33.5,2
DH,2017-01-06,86.0,1
DL,2017-01-06,86.0,1
DN,2017-01-06,83.25,1
DT,2017-01-06,52.5,1
DY,2017-01-06,42.0,2
E,2017-01-06,73.33333333333333,2
EC,2017-01-06,130.0,1
EH,2017-01-06,64.0,0
EN,2017-01-06,54.0,1
EX,2017-01-06,78.0,1
FK,2017-01-06,3.0,0
FY,2017-01-06,119.0,2
G,2017-01-06,3.0,1
GL,2017-01-06,74.66666666666667,2
GU,2017-01-06,64.0,1
GY,2017-01-06,,2
HA,2017-01-06,50.0,1
HD,2017-01-06,75.0,1
HG,2017-01-06,86.0,1
HP,2017-01-06,64.5,2
HR,2017-01-06,61.25,2
HS,2017-01-06,,2
HU,2017-01-06,75.0,0
HX,2017-01-06,72.25,2
IG,2017-01-06,36.0,1
IM,2017-01-06,,2
IP,2017-01-06,108.0,2
IV,2017-01-06,3.0,2
JE,2017-01-06,,2
KA,2017-01-06,33.5,2
KT,2017-01-06,76.0,2
KW,2017-01-06,3.0,3
KY,2017-01-06,33.5,1
L,2017-01-06,119.0,0
LA,2017-01-06,97.0,2
LD,2017-01-06,42.0,1
LE,2017-01-06,108.0,1
LL,2017-01-06,119.0,0
LN,2017-01-06,108.0,1
LS,2017-01-06,86.0,0
LU,2017-01-06,68.25,3
M,2017-01-06,53.0,0
ME,2017-01-06,86.0,0
MK,2017-01-06,108.0,2
ML,2017-01-06,33.5,1
N,2017-01-06,92.0,1
NE,2017-01-06,75.0,2
