region_id,timestamp,val_Pressure.max,extra_rings_Pressure.max
SP,2017-01-04,1014.9,0
SR,2017-01-04,1011.9,7
SS,2017-01-04,1026.55,4
ST,2017-01-04,1011.9,3
SW,2017-01-04,1027.1,1
SY,2017-01-04,1011.9,1
TA,2017-01-04,1014.9,2
TD,2017-01-04,1011.9,6
TF,2017-01-04,1011.9,2
TN,2017-01-04,1027.1,3
TQ,2017-01-04,1014.9,3
TR,2017-01-04,1014.9,4
TS,2017-01-04,1011.9,6
TW,2017-01-04,1027.1,0
UB,2017-01-04,1026.0,0
W,2017-01-04,1026.55,1
WA,2017-01-04,1011.9,2
WC,2017-01-04,1026.55,2
WD,2017-01-04,1026.0,1
WF,2017-01-04,1011.9,5
WN,2017-01-04,1011.9,3
WR,2017-01-04,1011.9,2
WS,2017-01-04,1011.9,3
WV,2017-01-04,1011.9,2
YO,2017-01-04,1011.9,6
ZE,2017-01-04,,2
AB,2017-01-05,1014.0,10
AL,2017-01-05,1033.4,2
B,2017-01-05,1014.0,3
BA,2017-01-05,1020.85,1
BB,2017-01-05,1014.0,4
BD,2017-01-05,1014.0,5
BH,2017-01-05,1020.85,1
BL,2017-01-05,1014.0,4
BN,2017-01-05,1034.5,2
BR,2017-01-05,1034.5,3
BS,2017-01-05,1020.85,2
BT,2017-01-05,,2
CA,2017-01-05,1014.0,5
CB,2017-01-05,1033.4,4
CF,2017-01-05,1014.0,3
CH,2017-01-05,1014.0,1
CM,2017-01-05,1033.4,3
CO,2017-01-05,1033.4,4
CR,2017-01-05,1034.5,2
CT,2017-01-05,1034.5,4
CV,2017-01-05,1018.5666666666666,3
CW,2017-01-05,1014.0,2
DA,2017-01-05,1034.5,3
DD,2017-01-05,1014.0,9
DE,2017-01-05,1018.5666666666666,4
DG,2017-01-05,1014.0,6
DH,2017-01-05,1014.0,6
DL,2017-01-05,1014.0,5
DN,2017-01-05,1014.0,5
DT,2017-01-05,1020.85,1
DY,2017-01-05,1014.0,2
E,2017-01-05,1033.95,3
EC,2017-01-05,1033.95,3
EH,2017-01-05,1014.0,7
EN,2017-01-05,1033.4,2
EX,2017-01-05,1020.85,2
FK,2017-01-05,1014.0,8
FY,2017-01-05,1014.0,4
G,2017-01-05,1014.0,8
GL,2017-01-05,1020.85,2
GU,2017-01-05,1034.5,1
GY,2017-01-05,,2
HA,2017-01-05,1033.4,1
HD,2017-01-05,1014.0,4
HG,2017-01-05,1014.0,6
HP,2017-01-05,1027.4,2
HR,2017-01-05,1014.0,2
HS,2017-01-05,,2
HU,2017-01-05,1014.0,6
HX,2017-01-05,1014.0,5
IG,2017-01-05,1033.95,3
IM,2017-01-05,,2
IP,2017-01-05,1027.4,5
IV,2017-01-05,1014.0,10
JE,2017-01-05,,2
KA,2017-01-05,1014.0,7
KT,2017-01-05,1034.5,1
KW,2017-01-05,1014.0,11
KY,2017-01-05,1014.0,8
L,2017-01-05,1014.0,2
LA,2017-01-05,1014.0,4
LD,2017-01-05,1014.0,2
LE,2017-01-05,1018.5666666666666,4
LL,2017-01-05,1014.0,0
LN,2017-01-05,1027.4,5
LS,2017-01-05,1014.0,6
LU,2017-01-05,1027.4,3
M,2017-01-05,1014.0,3
ME,2017-01-05,1034.5,4
MK,2017-01-05,1027.4,3
ML,2017-01-05,1014.0,7
N,2017-01-05,1033.95,3
NE,2017-01-05,1014.0,6
NG,2017-01-05,1024.72,5
NN,2017-01-05,1020.85,3
NP,2017-01-05,1018.5666666666666,3
NR,2017-01-05,1027.4,5
NW,2017-01-05,1033.95,2
OL,2017-01-05,1014.0,4
OX,2017-01-05,1020.85,2
PA,2017-01-05,1014.0,8
PE,2017-01-05,1027.4,4
PH,2017-01-05,1014.0,9
PL,2017-01-05,1020.85,3
PO,2017-01-05,1025.4,2
PR,2017-01-05,1014.0,3
RG,2017-01-05,1020.85,1
