region_id,timestamp,val_NO2_mean,extra_rings_NO2_mean
CV,2017-01-04,34.333333333333336,0
CW,2017-01-04,44.0,1
DA,2017-01-04,25.0,0
DD,2017-01-04,29.5,1
DE,2017-01-04,34.90909090909091,1
DG,2017-01-04,26.5,0
DH,2017-01-04,16.875,1
DL,2017-01-04,21.818181818181817,1
DN,2017-01-04,23.5,0
DT,2017-01-04,43.33333333333334,1
DY,2017-01-04,41.2,1
E,2017-01-04,73.0,0
EC,2017-01-04,49.66666666666666,1
EH,2017-01-04,18.0,0
EN,2017-01-04,54.14285714285714,1
EX,2017-01-04,31.5,0
FK,2017-01-04,30.5,0
FY,2017-01-04,24.0,0
G,2017-01-04,70.6,0
GL,2017-01-04,44.0,1
GU,2017-01-04,35.09090909090909,1
GY,2017-01-04,,2
HA,2017-01-04,56.4,1
HD,2017-01-04,25.11111111111111,1
HG,2017-01-04,25.33333333333333,1
HP,2017-01-04,4.0,0
HR,2017-01-04,58.0,1
HS,2017-01-04,,2
HU,2017-01-04,18.5,0
HX,2017-01-04,39.66666666666666,1
IG,2017-01-04,55.0,1
IM,2017-01-04,,2
IP,2017-01-04,11.333333333333336,1
IV,2017-01-04,15.0,0
JE,2017-01-04,,2
KA,2017-01-04,58.0,1
KT,2017-01-04,33.0,1
KW,2017-01-04,15.0,1
KY,2017-01-04,22.66666666666667,1
L,2017-01-04,40.0,0
LA,2017-01-04,39.4,1
LD,2017-01-04,36.57142857142857,1
LE,2017-01-04,36.0,0
LL,2017-01-04,44.5,1
LN,2017-01-04,53.0,0
LS,2017-01-04,37.0,0
LU,2017-01-04,61.0,0
M,2017-01-04,43.25,0
ME,2017-01-04,26.5,0
MK,2017-01-04,33.0,1
ML,2017-01-04,43.41666666666666,1
N,2017-01-04,39.5,0
NE,2017-01-04,19.0,0
NG,2017-01-04,48.5,0
NN,2017-01-04,16.0,0
NP,2017-01-04,58.0,0
NR,2017-01-04,15.0,0
NW,2017-01-04,75.5,0
OL,2017-01-04,41.0,0
OX,2017-01-04,37.0,0
PA,2017-01-04,54.375,1
PE,2017-01-04,33.72727272727273,1
PH,2017-01-04,21.0,0
PL,2017-01-04,23.0,0
PO,2017-01-04,33.0,0
PR,2017-01-04,44.0,0
RG,2017-01-04,47.5,0
RH,2017-01-04,33.0,0
RM,2017-01-04,47.0,0
S,2017-01-04,20.714285714285715,0
SA,2017-01-04,21.0,0
SE,2017-01-04,50.0,0
SG,2017-01-04,38.0,0
SK,2017-01-04,34.55555555555556,1
SL,2017-01-04,36.8,1
SM,2017-01-04,43.0,2
SN,2017-01-04,45.83333333333334,1
SO,2017-01-04,35.5,0
SP,2017-01-04,42.42857142857143,1
SR,2017-01-04,12.0,0
SS,2017-01-04,30.0,0
ST,2017-01-04,54.5,0
SW,2017-01-04,48.0,1
SY,2017-01-04,30.4,1
TA,2017-01-04,66.0,0
TD,2017-01-04,24.5,1
TF,2017-01-04,54.5,1
TN,2017-01-04,28.1,1
TQ,2017-01-04,3.0,0
TR,2017-01-04,23.0,1
TS,2017-01-04,18.25,0
TW,2017-01-04,43.66666666666666,1
UB,2017-01-04,42.5,0
W,2017-01-04,46.0,0
WA,2017-01-04,38.5,0
WC,2017-01-04,46.0,0
WD,2017-01-04,48.0,1
WF,2017-01-04,22.93333333333333,1
WN,2017-01-04,27.0,0
WR,2017-01-04,41.333333333333336,1
WS,2017-01-04,30.5,0
WV,2017-01-04,42.5,1
YO,2017-01-04,12.666666666666664,0
ZE,2017-01-04,,2
AB,2017-01-05,40.0,0
AL,2017-01-05,71.5,1
B,2017-01-05,89.0,0
BA,2017-01-05,59.0,0
BB,2017-01-05,75.0,0
BD,2017-01-05,94.0,0
BH,2017-01-05,62.5,0
BL,2017-01-05,71.5,1
BN,2017-01-05,48.75,0
BR,2017-01-05,74.0,1
BS,2017-01-05,74.0,0
BT,2017-01-05,42.0,0
CA,2017-01-05,46.0,0
CB,2017-01-05,17.0,0
CF,2017-01-05,32.0,0
CH,2017-01-05,55.0,0
CM,2017-01-05,53.14285714285714,1
CO,2017-01-05,28.0,0
CR,2017-01-05,71.5,1
CT,2017-01-05,35.0,0
CV,2017-01-05,71.0,0
CW,2017-01-05,75.375,1
DA,2017-01-05,49.0,0
DD,2017-01-05,34.25,1
DE,2017-01-05,71.95454545454545,1
DG,2017-01-05,25.0,0
DH,2017-01-05,49.25,1
DL,2017-01-05,49.27272727272727,1
DN,2017-01-05,53.0,0
DT,2017-01-05,51.5,1
DY,2017-01-05,80.6,1
E,2017-01-05,99.0,0
EC,2017-01-05,78.83333333333333,1
EH,2017-01-05,32.5,0
EN,2017-01-05,85.14285714285714,1
EX,2017-01-05,41.0,0
FK,2017-01-05,60.0,0
FY,2017-01-05,54.0,0
G,2017-01-05,68.8,0
GL,2017-01-05,71.8888888888889,1
GU,2017-01-05,56.81818181818182,1
GY,2017-01-05,,2
HA,2017-01-05,97.0,1
HD,2017-01-05,61.555555555555564,1
HG,2017-01-05,58.0,1
HP,2017-01-05,6.0,0
HR,2017-01-05,71.0,1
HS,2017-01-05,,2
HU,2017-01-05,57.5,0
HX,2017-01-05,80.0,1
IG,2017-01-05,85.5,1
IM,2017-01-05,,2
IP,2017-01-05,27.0,1
IV,2017-01-05,31.0,0
JE,2017-01-05,,2
KA,2017-01-05,56.28571428571429,1
KT,2017-01-05,56.5,1
KW,2017-01-05,31.0,1
KY,2017-01-05,40.4,1
L,2017-01-05,42.0,0
LA,2017-01-05,65.4,1
LD,2017-01-05,51.85714285714285,1
LE,2017-01-05,59.0,0
LL,2017-01-05,55.0,1
LN,2017-01-05,70.0,0
LS,2017-01-05,74.5,0
LU,2017-01-05,126.0,0
M,2017-01-05,77.0,0
ME,2017-01-05,46.5,0
MK,2017-01-05,66.42857142857143,1
ML,2017-01-05,52.63636363636363,1
N,2017-01-05,70.5,0
NE,2017-01-05,60.0,0
NG,2017-01-05,93.0,0
NN,2017-01-05,32.0,0
NP,2017-01-05,71.0,0
NR,2017-01-05,36.0,0
NW,2017-01-05,101.0,0
OL,2017-01-05,71.0,0
OX,2017-01-05,73.5,0
PA,2017-01-05,60.125,1
PE,2017-01-05,61.09090909090909,1
PH,2017-01-05,17.0,0
PL,2017-01-05,40.0,0
PO,2017-01-05,52.0,0
PR,2017-01-05,58.0,0
RG,2017-01-05,76.0,0
RH,2017-01-05,56.5,0
RM,2017-01-05,70.0,0
S,2017-01-05,55.57142857142857,0
SA,2017-01-05,39.333333333333336,0
SE,2017-01-05,86.5,0
SG,2017-01-05,77.0,0
SK,2017-01-05,70.05555555555556,1
SL,2017-01-05,71.0,1
SM,2017-01-05,72.0,2
SN,2017-01-05,72.0,1
SO,2017-01-05,56.5,0
SP,2017-01-05,64.14285714285714,1
SR,2017-01-05,48.5,0
SS,2017-01-05,51.5,0
ST,2017-01-05,107.5,0
SW,2017-01-05,79.75,1
SY,2017-01-05,45.6,1
TA,2017-01-05,43.0,0
TD,2017-01-05,40.142857142857146,1
TF,2017-01-05,107.5,1
TN,2017-01-05,48.5,1
TQ,2017-01-05,7.0,0
TR,2017-01-05,40.0,1
TS,2017-01-05,44.25,0
TW,2017-01-05,94.33333333333331,1
UB,2017-01-05,98.5,0
W,2017-01-05,86.0,0
WA,2017-01-05,69.5,0
WC,2017-01-05,60.0,0
WD,2017-01-05,81.0,1
WF,2017-01-05,56.2,1
WN,2017-01-05,60.0,0
WR,2017-01-05,80.0,1
WS,2017-01-05,68.0,0
WV,2017-01-05,87.75,1
YO,2017-01-05,35.0,0
ZE,2017-01-05,,2
AB,2017-01-06,47.0,0
AL,2017-01-06,50.75,1
B,2017-01-06,45.0,0
BA,2017-01-06,66.0,0
BB,2017-01-06,46.0,0
BD,2017-01-06,51.0,0
BH,2017-01-06,24.0,0
BL,2017-01-06,46.125,1
BN,2017-01-06,29.75,0
BR,2017-01-06,44.66666666666666,1
BS,2017-01-06,54.0,0
BT,2017-01-06,33.2,0
CA,2017-01-06,34.0,0
CB,2017-01-06,33.0,0
CF,2017-01-06,30.0,0
CH,2017-01-06,39.0,0
CM,2017-01-06,42.57142857142857,1
CO,2017-01-06,24.0,0
CR,2017-01-06,45.75,1
CT,2017-01-06,20.0,0
CV,2017-01-06,44.0,0
CW,2017-01-06,48.0,1
DA,2017-01-06,36.0,0
DD,2017-01-06,38.5,1
DE,2017-01-06,46.36363636363637,1
DG,2017-01-06,20.0,0
DH,2017-01-06,40.625,1
DL,2017-01-06,44.18181818181818,1
DN,2017-01-06,49.0,0
DT,2017-01-06,38.333333333333336,1
DY,2017-01-06,42.4,1
E,2017-01-06,80.0,0
EC,2017-01-06,65.66666666666667,1
EH,2017-01-06,13.333333333333336,0
EN,2017-01-06,84.28571428571429,1
EX,2017-01-06,32.0,0
FK,2017-01-06,19.5,0
FY,2017-01-06,38.0,0
G,2017-01-06,54.0,0
GL,2017-01-06,58.22222222222222,1
GU,2017-01-06,40.36363636363637,1
GY,2017-01-06,,2
HA,2017-01-06,99.4,1
HD,2017-01-06,42.22222222222222,1
HG,2017-01-06,55.66666666666666,1
HP,2017-01-06,5.0,0
HR,2017-01-06,73.0,1
HS,2017-01-06,,2
HU,2017-01-06,58.0,0
HX,2017-01-06,51.0,1
IG,2017-01-06,55.0,1
IM,2017-01-06,,2
IP,2017-01-06,27.66666666666667,1
IV,2017-01-06,21.0,0
JE,2017-01-06,,2
KA,2017-01-06,44.28571428571429,1
KT,2017-01-06,42.5,1
KW,2017-01-06,21.0,1
KY,2017-01-06,15.333333333333336,1
L,2017-01-06,20.0,0
LA,2017-01-06,42.4,1
LD,2017-01-06,45.28571428571429,1
LE,2017-01-06,44.0,0
LL,2017-01-06,39.0,1
LN,2017-01-06,43.0,0
LS,2017-01-06,69.0,0
LU,2017-01-06,74.0,0
M,2017-01-06,44.75,0
ME,2017-01-06,29.5,0
MK,2017-01-06,51.0,1
ML,2017-01-06,32.416666666666664,1
N,2017-01-06,80.5,0
NE,2017-01-06,61.5,0
NG,2017-01-06,65.0,0
NN,2017-01-06,35.0,0
NP,2017-01-06,73.0,0
NR,2017-01-06,26.0,0
NW,2017-01-06,112.5,0
OL,2017-01-06,56.0,0
OX,2017-01-06,59.5,0
PA,2017-01-06,40.25,1
PE,2017-01-06,47.54545454545455,1
PH,2017-01-06,13.0,0
PL,2017-01-06,18.0,0
PO,2017-01-06,39.0,0
PR,2017-01-06,43.0,0
RG,2017-01-06,51.0,0
RH,2017-01-06,42.5,0
RM,2017-01-06,42.0,0
S,2017-01-06,39.0,0
SA,2017-01-06,22.66666666666667,0
SE,2017-01-06,49.0,0
SG,2017-01-06,62.0,0
SK,2017-01-06,45.22222222222222,1
SL,2017-01-06,61.6,1
SM,2017-01-06,51.5,2
SN,2017-01-06,56.83333333333334,1
SO,2017-01-06,49.5,0
SP,2017-01-06,45.0,1
SR,2017-01-06,34.5,0
SS,2017-01-06,37.5,0
ST,2017-01-06,70.5,0
SW,2017-01-06,56.0,1
SY,2017-01-06,29.2,1
TA,2017-01-06,52.0,0
TD,2017-01-06,29.625,1
TF,2017-01-06,70.5,1
TN,2017-01-06,31.9,1
TQ,2017-01-06,11.0,0
TR,2017-01-06,18.0,1
TS,2017-01-06,33.25,0
TW,2017-01-06,90.66666666666669,1
UB,2017-01-06,100.5,0
W,2017-01-06,71.0,0
WA,2017-01-06,41.25,0
WC,2017-01-06,55.0,0
WD,2017-01-06,86.2,1
WF,2017-01-06,47.0,1
WN,2017-01-06,45.0,0
WR,2017-01-06,44.5,1
WS,2017-01-06,38.5,0
WV,2017-01-06,54.5,1
YO,2017-01-06,48.33333333333334,0
ZE,2017-01-06,,2
AB,2017-01-07,47.66666666666666,0
AL,2017-01-07,36.0,1
B,2017-01-07,55.0,0
BA,2017-01-07,49.0,0
BB,2017-01-07,39.0,0
BD,2017-01-07,43.0,0
BH,2017-01-07,26.0,0
