region_id,timestamp,val_PM2.5_mean,extra_rings_PM2.5_mean
SK,2017-01-06,16.857142857142858,1
SL,2017-01-06,28.0,1
SM,2017-01-06,23.66666666666667,2
SN,2017-01-06,18.0,2
SO,2017-01-06,14.0,0
SP,2017-01-06,14.0,1
SR,2017-01-06,13.0,0
SS,2017-01-06,21.5,0
ST,2017-01-06,17.0,0
SW,2017-01-06,22.0,1
SY,2017-01-06,12.666666666666664,1
TA,2017-01-06,19.0,2
TD,2017-01-06,8.5,1
TF,2017-01-06,17.0,1
TN,2017-01-06,18.8,1
TQ,2017-01-06,17.333333333333332,4
TR,2017-01-06,17.333333333333332,5
TS,2017-01-06,13.0,0
TW,2017-01-06,27.0,1
UB,2017-01-06,28.0,0
W,2017-01-06,26.0,0
WA,2017-01-06,20.0,0
WC,2017-01-06,24.5,1
WD,2017-01-06,27.33333333333333,1
WF,2017-01-06,17.2,1
WN,2017-01-06,19.0,0
WR,2017-01-06,17.666666666666668,1
WS,2017-01-06,16.75,1
WV,2017-01-06,17.0,1
YO,2017-01-06,15.333333333333336,1
ZE,2017-01-06,,2
AB,2017-01-07,8.0,0
AL,2017-01-07,14.0,1
B,2017-01-07,18.666666666666668,0
BA,2017-01-07,11.333333333333336,2
BB,2017-01-07,13.0,1
BD,2017-01-07,9.5,1
BH,2017-01-07,7.0,1
BL,2017-01-07,17.25,1
BN,2017-01-07,13.0,0
BR,2017-01-07,13.0,1
BS,2017-01-07,13.5,1
BT,2017-01-07,13.5,0
CA,2017-01-07,14.0,0
CB,2017-01-07,14.0,1
CF,2017-01-07,10.0,0
CH,2017-01-07,9.0,0
CM,2017-01-07,14.333333333333336,1
CO,2017-01-07,16.0,2
CR,2017-01-07,15.0,1
CT,2017-01-07,14.5,1
CV,2017-01-07,18.33333333333333,0
CW,2017-01-07,15.666666666666664,1
DA,2017-01-07,12.0,0
DD,2017-01-07,8.0,1
DE,2017-01-07,16.583333333333332,1
DG,2017-01-07,14.0,1
DH,2017-01-07,10.6,1
DL,2017-01-07,11.8,1
DN,2017-01-07,14.8,1
DT,2017-01-07,7.0,2
DY,2017-01-07,18.666666666666668,1
E,2017-01-07,14.0,1
EC,2017-01-07,14.0,1
EH,2017-01-07,3.5,0
EN,2017-01-07,16.333333333333332,1
EX,2017-01-07,11.333333333333336,3
FK,2017-01-07,6.0,0
FY,2017-01-07,9.0,0
G,2017-01-07,7.0,0
GL,2017-01-07,16.4,1
GU,2017-01-07,12.25,1
GY,2017-01-07,,2
HA,2017-01-07,14.25,1
HD,2017-01-07,10.333333333333334,1
HG,2017-01-07,9.5,1
HP,2017-01-07,14.875,2
HR,2017-01-07,13.5,1
HS,2017-01-07,,2
HU,2017-01-07,23.0,0
HX,2017-01-07,12.375,2
IG,2017-01-07,14.0,1
IM,2017-01-07,,2
IP,2017-01-07,21.0,1
IV,2017-01-07,8.0,1
JE,2017-01-07,,2
KA,2017-01-07,5.333333333333333,1
KT,2017-01-07,16.0,1
KW,2017-01-07,8.0,2
KY,2017-01-07,4.333333333333333,1
L,2017-01-07,11.0,0
LA,2017-01-07,12.0,1
LD,2017-01-07,11.8,1
LE,2017-01-07,18.0,0
LL,2017-01-07,9.0,1
LN,2017-01-07,20.0,1
LS,2017-01-07,9.5,0
LU,2017-01-07,14.0,1
M,2017-01-07,18.0,0
ME,2017-01-07,14.5,0
MK,2017-01-07,14.0,1
ML,2017-01-07,5.4,1
N,2017-01-07,17.5,1
NE,2017-01-07,5.0,0
NG,2017-01-07,20.0,0
NN,2017-01-07,18.25,1
NP,2017-01-07,13.5,0
NR,2017-01-07,21.0,0
NW,2017-01-07,17.5,0
OL,2017-01-07,18.0,1
OX,2017-01-07,18.33333333333333,1
PA,2017-01-07,2.0,0
PE,2017-01-07,18.25,1
PH,2017-01-07,5.333333333333333,1
PL,2017-01-07,11.333333333333336,4
PO,2017-01-07,13.0,0
PR,2017-01-07,13.0,0
RG,2017-01-07,7.0,1
RH,2017-01-07,16.0,0
RM,2017-01-07,14.0,1
S,2017-01-07,10.333333333333334,0
SA,2017-01-07,11.0,0
SE,2017-01-07,14.0,0
SG,2017-01-07,14.0,0
SK,2017-01-07,15.0,1
SL,2017-01-07,8.0,1
SM,2017-01-07,14.666666666666664,2
SN,2017-01-07,14.833333333333336,2
SO,2017-01-07,7.0,0
SP,2017-01-07,7.0,1
SR,2017-01-07,8.0,0
